1000047 JAMEL        MYERS        1   22339.00 3993
1000375 WENDELL      VASQUEZ      2    5302.90 4005
1002901 CRUZ         ROJAS        4   23123.60 4013
1000144 ELMO         DAVIDSON     5   13225.20 4000
1000444 EMILE        BEASLEY      7   25478.20 4006
1000769 CHASE        LAWSON       3   27075.50 4015
1000872 RUDOLPH      QUINN        1   17593.00 3995
1000026 BARRETT      DIAZ         4    5771.70 3996
1001910 ELTON        PITTMAN      4   27427.60 4009
1000012 REINALDO     ROLLINS      0   19836.00 3995
1000004 HOMER        VELEZ        5   18872.90 4001
1000684 ANTONIA      TYLER        5   24010.40 4019
1000637 ANTONIA      RIDDLE       2   20162.40 4002
1001314 GARY         GRIFFIN      1   22089.50 4013
1001861 MERLE        TURNER       5   10774.00 3992
1000938 LEWIS        ALFORD       3    4532.90 4009
1002349 BURL         REED         7   18295.10 4010
1001216 MONROE       NICHOLSON    5   21693.50 4014
1000273 MICHEL       ATKINSON     2   20284.90 4004
1000291 LESLEY       CARDENAS     4   14801.60 4014
1001830 CLINTON      PETERSEN     2   22388.70 4011
1002322 HIRAM        ROLLINS      1   20325.50 3999
1000171 JOSUE        MARSHALL     5   14149.50 3993
1000324 CLIFFORD     FREDERICK    1   10269.70 3997
1001005 JULIUS       MCCLAIN      0   20282.90 4001
1001971 CARMINE      STANTON      0   19615.90 3993
1001366 DEMETRIUS    PATE         4   18896.90 4012
1000343 ARNOLD       RICE         0   27332.30 4006
1002772 LUTHER       JORDAN       6    4650.30 4018
1000731 EMMANUEL     NEWTON       5   24663.60 4006
1002019 KAREEM       LEVINE       4   27991.40 4001
1000288 MATTHEW      KENT         3   14589.10 4006
1000048 TERRANCE     PRINCE       6   15108.60 4011
1001766 BENNIE       HAYS         4   21446.60 3993
1000926 JONATHON     GALLAGHER    0   14007.30 4000
1000367 LIONEL       DELANEY      7   12285.70 4017
1002818 RUBEN        MORRISON     4   20253.20 3999
1002781 CLAUDIO      AUSTIN       3   20514.60 4004
1001423 MARY         LAMBERT      3   16733.30 4019
1001527 PORTER       BARTLETT     7    5660.30 3993
1002517 JAMEY        GILLIAM      3    9693.60 4017
1002085 RICHARD      SINGLETON    4   10488.80 4017
1001807 PRINCE       REYNOLDS     1   17864.00 4011
1002828 DIRK         BLANKENSHIP  2   22459.30 3990
1001788 CORNELIUS    HENSLEY      5   26288.20 4017
1000393 TEDDY        KEMP         4   18817.50 4006
1000939 GARLAND      FOX          0   18486.20 4006
1001686 DAMON        CALDERON     4   25874.40 4018
1000309 MICHEL       ROSS         6   17271.20 4008
1000063 DEAN         WIGGINS      0    7820.40 4011
1001221 MYRON        PAUL         2   27784.00 3996
1002317 CLETUS       GARRISON     1   23480.80 3993
1002104 OCTAVIO      TERRELL      6    9698.60 4014
1001566 DARNELL      FORD         2   22768.00 4018
1000654 SHAD         EWING        4   28980.40 4019
1000978 MAXIMO       DURHAM       6   20915.10 3998
1002654 TIMMY        OSBORNE      4   26435.90 4016
1000618 DAMION       ZIMMERMAN    2   10129.60 4008
1001896 RANDOLPH     HOOPER       1    4981.40 3991
1002738 VERNON       YATES        2    9908.90 3993
1001757 AHMED        BRYAN        1   18185.30 3999
1002831 TRACY        MARSHALL     3   21042.80 4017
1002453 SALVATORE    DALE         1   17710.40 3992
1000157 VANCE        HOBBS        7    9567.10 3994
1001785 WOODROW      THOMAS       5   23759.40 3993
1002775 IRA          CRAFT        2   10922.30 4007
1000136 LOUIS        SNOW         1    5544.50 4005
1001692 JOHNNY       FRY          6    9109.50 3997
1001346 LINWOOD      VALENTINE    4   23378.20 4002
1001980 MERLIN       BREWER       4    9095.10 4000
1000881 ANDY         BRADFORD     3   14971.40 4000
1001300 ALVA         HOLDER       2   12010.20 3994
1000517 BRANT        MYERS        0   13562.00 3997
1000956 EUGENE       HERRING      5    7760.40 4004
1000392 BRYON        GROSS        4   26595.40 4013
1002533 PHIL         GARCIA       0   22031.30 4002
1002389 ROCCO        CAMPBELL     4   14697.50 3996
1000083 DEON         KLINE        2   16317.80 4012
1001247 DIRK         FIGUEROA     3   15823.00 4004
1002180 LOUIS        DENNIS       4   21889.10 4004
1000999 MASON        LEON         4   25176.00 3997
1001821 ERNESTO      BENTON       7    4949.60 4017
1000272 HENRY        GOODMAN      4   15377.00 4019
1002863 CHET         LARA         2   14375.50 4017
1000068 JAY          MADDOX       3   22263.00 4001
1001709 BRYON        KIRKLAND     6   17906.30 4017
1001455 EMMITT       JONES        0   19336.00 4002
1001588 CORY         GEORGE       6   21528.80 4000
1002216 PETE         TALLEY       6   18692.50 3997
1000113 DON          BAUER        2    7017.30 4018
1000805 BARRETT      ALLISON      7    5931.90 4013
1002854 FABIAN       ARMSTRONG    3   19769.70 4015
1000253 ENRIQUE      AGUIRRE      3   28935.50 4018
1001442 ARNULFO      HOGAN        2   27032.30 4015
1000402 DOMENIC      HARPER       2    8214.00 4000
1002808 CLARK        WEEKS        0    6998.20 4002
1002212 ZACHERY      BAKER        2   27373.90 4001
1000266 CHAUNCEY     DANIELS      5    7022.10 4017
1001601 JAIME        GOODMAN      4   19337.30 4014
1001882 OTIS         BENNETT      2   23696.20 4007
